Id,Condition,Sex,Centroid Size,Log Centroid Size,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11,X12,Y12,X13,Y13,X14,Y14,X15,Y15
S_058M-WING,standard,M,2.308334257,0.8365261638,0.56046,1.14411,0.57076,1.24718,0.51923,1.32578,0.63519,1.45333,0.66482,1.40566,0.73826,1.26007,0.82974,1.09644,0.97275,1.28068,0.95729,1.34253,1.29228,1.41854,1.27295,1.55898,1.86691,1.00496,2.2354,1.29743,2.16454,1.49069,1.51517,1.79347
S_061F-WING,standard,F,2.721668085,1.001244959,0.49604,1.2562,0.56046,1.13767,0.52696,1.02558,0.72022,0.9341,0.73697,1.00496,0.7563,1.20209,0.76918,1.40437,1.03073,1.28197,1.0449,1.20982,1.42885,1.27166,1.47137,1.08742,1.90299,1.97514,2.37455,1.83599,2.39259,1.61438,1.8347,0.96889
S_064M-WING,standard,M,2.304846745,0.8350141861,0.57205,1.08355,0.64034,0.99981,0.63776,0.89416,0.81428,0.85422,0.81943,0.91091,0.79881,1.09,0.77047,1.26522,1.02558,1.20338,1.04748,1.14669,1.34639,1.23688,1.38891,1.09644,1.6234,1.90041,2.07692,1.83084,2.11558,1.64402,1.73421,1.04104
S_069M-WING,standard,M,2.318985215,0.8411296828,0.9006,1.88495,0.82329,1.79218,0.72924,1.75869,0.73955,1.58088,0.8001,1.59248,0.95471,1.66334,1.12736,1.73807,1.1235,1.48941,1.07582,1.45075,1.27811,1.17503,1.14926,1.09257,1.97901,1.12607,2.07177,0.6777,1.90685,0.57205,1.19049,0.75887
S_071F-WING,standard,F,2.564918635,0.941926757,0.67126,1.73292,0.65065,1.60408,0.55144,1.54223,0.64163,1.34897,0.69832,1.39149,0.82201,1.53192,0.97662,1.68396,1.07711,1.41983,1.03975,1.3567,1.34897,1.16472,1.28326,0.99852,2.113,1.40824,2.37455,1.02429,2.26246,0.85293,1.47395,0.6893
S_080F-WING,standard,F,2.577799663,0.9469361911,2.05373,1.50744,2.03054,1.37989,2.08723,1.27682,1.92747,1.13509,1.88624,1.19307,1.82955,1.37731,1.75353,1.57444,1.5461,1.37603,1.55254,1.30001,1.19436,1.24718,1.19822,1.06809,0.57334,1.75482,0.1997,1.49198,0.23706,1.29357,0.89545,0.85679
S_081F-WING,standard,F,2.740069444,1.007983265,0.55273,1.22786,0.61715,1.11319,0.60813,1.00496,0.79753,0.91864,0.81943,0.9895,0.81299,1.1892,0.82201,1.40308,1.08742,1.2897,1.10803,1.22142,1.49714,1.30774,1.53965,1.12994,1.89526,2.04858,2.3913,1.94808,2.43511,1.74451,1.92618,1.03588
H_001F-WING,hypoxia,F,2.154102804,0.7673743044,1.9492,1.09263,1.88083,1.02039,1.88857,0.93396,1.72216,0.89913,1.72216,0.94428,1.73119,1.1094,1.75183,1.26421,1.54027,1.19971,1.50931,1.14165,1.19713,1.25905,1.14681,1.12875,0.9804,1.86793,0.57663,1.82794,0.51471,1.64992,0.83979,1.0836
H_002M-WING,hypoxia,M,1.919302623,0.6519619027,0.774,1.67185,0.76239,1.59058,0.70692,1.53253,0.78819,1.40482,0.81915,1.43191,0.92106,1.54801,1.00362,1.6525,1.09263,1.47835,1.07328,1.42675,1.32097,1.30162,1.27324,1.19455,1.86277,1.53382,2.0911,1.22809,2.00854,1.07328,1.46545,0.94815
H_003M-WING,hypoxia,M,1.88112992,0.6318726175,0.82431,0.99201,0.90429,0.94428,0.93396,0.87978,1.07844,0.87978,1.06812,0.92622,1.00749,1.06554,0.93783,1.19068,1.13778,1.18939,1.18552,1.15198,1.41772,1.33,1.4848,1.22293,1.41256,1.88857,1.80214,1.95823,1.88986,1.81762,1.75054,1.26292
H_004F-WING,hypoxia,F,2.313494921,0.8387593339,1.64476,2.0524,1.54543,2.06014,1.47577,2.10658,1.33129,2.00467,1.37257,1.9621,1.51963,1.87051,1.64734,1.77892,1.46803,1.64089,1.40869,1.65121,1.30807,1.33774,1.17004,1.3816,1.67185,0.73788,1.38031,0.39216,1.20229,0.46182,0.91977,1.13133
H_005F-WING,hypoxia,F,2.28840823,0.8278564796,0.50439,1.44997,0.53148,1.34806,0.51342,1.26421,0.64758,1.15843,0.66693,1.20745,0.71208,1.37386,0.77142,1.53511,0.93654,1.38934,0.9417,1.32226,1.30549,1.30549,1.28872,1.15585,1.78537,1.7944,2.16592,1.56607,2.14399,1.39321,1.56478,0.99588
H_006M-WING,hypoxia,M,2.006876812,0.6965796886,1.33645,0.71079,1.41643,0.7482,1.48996,0.73917,1.55575,0.86817,1.51318,0.88365,1.36483,0.903,1.21777,0.9288,1.32097,1.08618,1.37515,1.10166,1.33516,1.40224,1.45126,1.42159,0.81528,1.73119,0.9417,2.11045,1.10811,2.13367,1.56349,1.70281
H_008M-WING,hypoxia,M,1.935987503,0.6606175339,1.6267,0.79722,1.68217,0.87204,1.76602,0.87333,1.76602,1.02684,1.72216,1.02555,1.59316,0.97266,1.459,0.94428,1.46158,1.15327,1.51189,1.1881,1.3816,1.42546,1.4848,1.47448,0.77658,1.58155,0.80754,1.91953,0.95331,1.9879,1.48351,1.79569
H_010M-WING,hypoxia,M,2.026266981,0.7061951744,1.23196,0.68241,1.31968,0.71724,1.39192,0.68628,1.4719,0.8127,1.4332,0.83205,1.28356,0.87333,1.13004,0.9159,1.26292,1.06296,1.31581,1.06683,1.31581,1.37515,1.4461,1.38289,0.84108,1.76731,1.02942,2.14915,1.20616,2.12851,1.58284,1.64863
H_011F-WING,hypoxia,F,2.250730904,0.8112550097,0.58308,1.5235,0.6063,1.42417,0.5547,1.34161,0.67983,1.22422,0.7095,1.27066,0.78561,1.42933,0.84366,1.58929,1.01136,1.41901,1.00491,1.35451,1.32613,1.29517,1.30936,1.14811,1.85761,1.72732,2.2201,1.46803,2.17495,1.28227,1.55833,0.94428
H_013M-WING,hypoxia,M,1.939260508,0.6623067192,0.81915,0.89913,0.79206,0.99072,0.73401,1.03716,0.78045,1.16746,0.81786,1.14036,0.9417,1.0578,1.04748,0.96492,1.09521,1.15456,1.0707,1.19971,1.29001,1.37386,1.22293,1.45642,1.87309,1.24615,2.05369,1.60606,1.94791,1.72216,1.33645,1.73377
H_014M-WING,hypoxia,M,2.097252657,0.7406282298,1.66153,0.74304,1.56736,0.73659,1.50673,0.67983,1.37386,0.75852,1.4074,0.79464,1.52608,0.903,1.64863,1.00362,1.46029,1.08876,1.40869,1.06812,1.28227,1.33387,1.14811,1.31194,1.55188,1.93501,1.21519,2.20978,1.05264,2.1169,0.90816,1.47835
