disc,distance,value,area
MAX_hypoxia_1feb_11.oif,110.624,2932.03,192610.029
MAX_hypoxia_1feb_11.oif,111.867,2949.071,192610.029
MAX_hypoxia_1feb_11.oif,113.11,3013.009,192610.029
MAX_hypoxia_1feb_11.oif,114.353,3070.292,192610.029
MAX_hypoxia_1feb_11.oif,115.596,3137.477,192610.029
MAX_hypoxia_1feb_11.oif,116.839,3220.676,192610.029
MAX_hypoxia_1feb_11.oif,118.082,3272.716,192610.029
MAX_hypoxia_1feb_11.oif,119.325,3269.997,192610.029
MAX_hypoxia_1feb_11.oif,120.568,3218.294,192610.029
MAX_hypoxia_1feb_11.oif,121.811,3176.478,192610.029
MAX_hypoxia_1feb_11.oif,123.054,3149.363,192610.029
