disc,distance,value,area
MAX_26thoct_10.oif,195.146,2248.629,153695.291
MAX_26thoct_10.oif,196.389,2204.262,153695.291
MAX_26thoct_10.oif,197.632,2184.048,153695.291
MAX_26thoct_10.oif,198.875,2189.428,153695.291
MAX_26thoct_10.oif,200.118,2188.734,153695.291
MAX_26thoct_10.oif,201.361,2193.971,153695.291
MAX_26thoct_10.oif,202.604,2147.307,153695.291
MAX_26thoct_10.oif,203.847,2130.844,153695.291
MAX_26thoct_10.oif,205.09,2111.325,153695.291
MAX_26thoct_10.oif,206.333,2098.627,153695.291
MAX_26thoct_10.oif,207.576,2073.863,153695.291
MAX_26thoct_10.oif,208.819,2050.287,153695.291
MAX_26thoct_10.oif,210.062,2046.717,153695.291
MAX_26thoct_10.oif,211.305,2023.917,153695.291
MAX_26thoct_10.oif,212.548,1992.427,153695.291
MAX_26thoct_10.oif,213.791,1970.945,153695.291
MAX_26thoct_10.oif,215.034,1902.085,153695.291
MAX_26thoct_10.oif,216.277,1853.281,153695.291
MAX_26thoct_10.oif,217.52,1819.857,153695.291
MAX_26thoct_10.oif,218.762,1835.547,153695.291
MAX_26thoct_10.oif,220.005,1859.505,153695.291
MAX_26thoct_10.oif,221.248,1809.03,153695.291
MAX_26thoct_10.oif,222.491,1790.907,153695.291
MAX_26thoct_10.oif,223.734,1762.425,153695.291
MAX_26thoct_10.oif,224.977,1771.835,153695.291
MAX_26thoct_10.oif,226.22,1790.325,153695.291
MAX_26thoct_10.oif,227.463,1815.856,153695.291
MAX_26thoct_10.oif,228.706,1860.377,153695.291
MAX_26thoct_10.oif,229.949,1812.041,153695.291
MAX_26thoct_10.oif,231.192,1784.847,153695.291
MAX_26thoct_10.oif,232.435,1805.374,153695.291
MAX_26thoct_10.oif,233.678,1854.451,153695.291
MAX_26thoct_10.oif,234.921,1911.739,153695.291
MAX_26thoct_10.oif,236.164,1970.995,153695.291
MAX_26thoct_10.oif,237.407,1995.464,153695.291
MAX_26thoct_10.oif,238.65,2015.806,153695.291
MAX_26thoct_11.oif,0,1331.924,172085.085
MAX_26thoct_11.oif,1.243,1319.789,172085.085
MAX_26thoct_11.oif,2.486,1316.147,172085.085
MAX_26thoct_11.oif,3.729,1321.788,172085.085
MAX_26thoct_11.oif,4.972,1330.086,172085.085
MAX_26thoct_11.oif,6.215,1329.169,172085.085
MAX_26thoct_11.oif,7.458,1332.095,172085.085
MAX_26thoct_11.oif,8.701,1329.318,172085.085
MAX_26thoct_11.oif,9.944,1321.702,172085.085
MAX_26thoct_11.oif,11.187,1304.594,172085.085
MAX_26thoct_11.oif,12.43,1310.857,172085.085
MAX_26thoct_11.oif,13.673,1319.833,172085.085
MAX_26thoct_11.oif,14.916,1328.07,172085.085
MAX_26thoct_11.oif,16.159,1333.276,172085.085
MAX_26thoct_11.oif,17.402,1344.651,172085.085
MAX_26thoct_11.oif,18.645,1349.918,172085.085
MAX_26thoct_11.oif,19.888,1369.575,172085.085
MAX_26thoct_11.oif,21.13,1354.76,172085.085
MAX_26thoct_11.oif,22.373,1352.486,172085.085
MAX_26thoct_11.oif,23.616,1373.659,172085.085
MAX_26thoct_11.oif,24.859,1365.002,172085.085
MAX_26thoct_11.oif,26.102,1355.801,172085.085
MAX_26thoct_11.oif,27.345,1373.627,172085.085
MAX_26thoct_11.oif,28.588,1355.865,172085.085
MAX_26thoct_11.oif,29.831,1358.025,172085.085
MAX_26thoct_11.oif,31.074,1352.205,172085.085
MAX_26thoct_11.oif,32.317,1368.053,172085.085
MAX_26thoct_11.oif,33.56,1407.617,172085.085
MAX_26thoct_11.oif,34.803,1399.804,172085.085
MAX_26thoct_11.oif,36.046,1370.017,172085.085
MAX_26thoct_11.oif,37.289,1367.264,172085.085
MAX_26thoct_11.oif,38.532,1362.273,172085.085
MAX_26thoct_11.oif,39.775,1354.304,172085.085
MAX_26thoct_11.oif,41.018,1375.785,172085.085
MAX_26thoct_11.oif,42.261,1380.056,172085.085
MAX_26thoct_11.oif,43.504,1388.308,172085.085
MAX_26thoct_11.oif,44.747,1393.616,172085.085
MAX_26thoct_11.oif,45.99,1411.831,172085.085
MAX_26thoct_11.oif,47.233,1422.546,172085.085
MAX_26thoct_11.oif,48.476,1445.599,172085.085
MAX_26thoct_11.oif,49.719,1437.938,172085.085
MAX_26thoct_11.oif,50.962,1433.501,172085.085
MAX_26thoct_11.oif,52.205,1436.946,172085.085
MAX_26thoct_11.oif,53.448,1423.619,172085.085
MAX_26thoct_11.oif,54.691,1428.017,172085.085
MAX_26thoct_11.oif,55.934,1434.826,172085.085
MAX_26thoct_11.oif,57.177,1453.428,172085.085
MAX_26thoct_11.oif,58.42,1470.158,172085.085
MAX_26thoct_11.oif,59.662,1488.875,172085.085
MAX_26thoct_11.oif,60.905,1496.595,172085.085
MAX_26thoct_11.oif,62.148,1484.388,172085.085
MAX_26thoct_11.oif,63.391,1459.424,172085.085
MAX_26thoct_11.oif,64.634,1439.494,172085.085
MAX_26thoct_11.oif,65.877,1442.679,172085.085
MAX_26thoct_11.oif,67.12,1455.661,172085.085
MAX_26thoct_11.oif,68.363,1450.996,172085.085
MAX_26thoct_11.oif,69.606,1442.144,172085.085
MAX_26thoct_11.oif,70.849,1441.972,172085.085
MAX_26thoct_11.oif,72.092,1440.674,172085.085
MAX_26thoct_11.oif,73.335,1452.051,172085.085
MAX_26thoct_11.oif,74.578,1473.56,172085.085
MAX_26thoct_11.oif,75.821,1509.118,172085.085
MAX_26thoct_11.oif,77.064,1527.761,172085.085
MAX_26thoct_11.oif,78.307,1564.107,172085.085
MAX_26thoct_11.oif,79.55,1607.247,172085.085
MAX_26thoct_11.oif,80.793,1623.654,172085.085
MAX_26thoct_11.oif,82.036,1651.484,172085.085
MAX_26thoct_11.oif,83.279,1671.425,172085.085
MAX_26thoct_11.oif,84.522,1688.724,172085.085
MAX_26thoct_11.oif,85.765,1678.208,172085.085
MAX_26thoct_11.oif,87.008,1694.158,172085.085
MAX_26thoct_11.oif,88.251,1695.882,172085.085
MAX_26thoct_11.oif,89.494,1712.433,172085.085
MAX_26thoct_11.oif,90.737,1740.858,172085.085
MAX_26thoct_11.oif,91.98,1774.537,172085.085
MAX_26thoct_11.oif,93.223,1767.88,172085.085
MAX_26thoct_11.oif,94.466,1777.545,172085.085
MAX_26thoct_11.oif,95.709,1797.131,172085.085
MAX_26thoct_11.oif,96.952,1781.132,172085.085
MAX_26thoct_11.oif,98.195,1770.088,172085.085
MAX_26thoct_11.oif,99.438,1783.407,172085.085
MAX_26thoct_11.oif,100.68,1783.5,172085.085
MAX_26thoct_11.oif,101.923,1789.545,172085.085
MAX_26thoct_11.oif,103.166,1795.033,172085.085
MAX_26thoct_11.oif,104.409,1797.639,172085.085
MAX_26thoct_11.oif,105.652,1803.702,172085.085
MAX_26thoct_11.oif,106.895,1798.747,172085.085
MAX_26thoct_11.oif,108.138,1802.451,172085.085
MAX_26thoct_11.oif,109.381,1823.992,172085.085
MAX_26thoct_11.oif,110.624,1814.194,172085.085
MAX_26thoct_11.oif,111.867,1823.822,172085.085
MAX_26thoct_11.oif,113.11,1824.441,172085.085
MAX_26thoct_11.oif,114.353,1847.035,172085.085
MAX_26thoct_11.oif,115.596,1847.035,172085.085
MAX_26thoct_11.oif,116.839,1857.219,172085.085
MAX_26thoct_11.oif,118.082,1857.521,172085.085
MAX_26thoct_11.oif,119.325,1860.917,172085.085
MAX_26thoct_11.oif,120.568,1888.704,172085.085
