disc,area,A,B,C,D,condition
MAX_17C_6dec_6.oif,182471.927,0.43882864,0.897985714,5.766834768,60.62506302,cold
MAX_17C_6dec_8.oif,195801.939,0.724959697,0.954963972,9.524297865,21.81174468,cold
MAX_17C_8dec_2.oif,273606.695,0.64590734,0.917835587,15.8659729,45.87859265,cold
MAX_17C_8dec_3.oif,204452.234,0.275729609,0.928135779,10.83673046,74.44136458,cold
MAX_17C_8dec_4.oif,148063.871,0.566650584,0.922874078,10.07085693,44.04152594,cold
MAX_17C_8dec_5.oif,213158.147,0.388544504,0.903723157,4.890545556,62.62550267,cold
MAX_17C_8dec_6.oif,171138.017,0.59664627,0.943702462,-1.568300019,29.36102253,cold
MAX_17C_Vg_10.oif,119837.245,0.559306481,0.931505886,-5.33779986,28.82078936,cold
MAX_17C_Vg_12.oif,215923.646,0.505337565,0.909154556,16.70154715,45.22143593,cold
MAX_17C_Vg_13.oif,170489.129,0.509136137,0.9030395,12.79343363,48.22280489,cold
MAX_17C_Vg_2.oif,218584.086,0.518325186,0.903132502,6.406674851,36.52954288,cold
MAX_17C_Vg_4.oif,212893.957,0.722293998,0.924203445,6.521239245,25.49636941,cold
MAX_17C_Vg_5.oif,173875.707,0.389535345,0.847464853,6.901047246,47.5693102,cold
MAX_17C_Vg_7.oif,173560.532,0.392155098,0.830909936,5.846187793,45.82694916,cold
